"","INCIDENT_ADDRESS","BOROUGH","COMMUNITY_BOARD","POLICE_PRECINCT","CITY_COUNCIL_DISTRICT","BBL","CREATED_DATE","STATUS","RESOLUTION_ACTION","CLOSED_DATE","X_COORDINATE","Y_COORDINATE","dispatched","resolution","date","responseTime","dow","weekday","latlong","count"
"313","314 WEST  127 STREET","MANHATTAN","10 MANHATTAN","Precinct 28",9,1019530041,"10/31/2017","Closed","Cleaning crew dispatched.  Owner refused.","11/20/2017",997903,234990,1,"Cleaning crew dispatched.  Owner refused.","2017/10",20,"Tuesday",1,"997903,234990",2
"314","282 GRAND STREET","MANHATTAN","03 MANHATTAN","Precinct 5",1,1004180053,"04/14/2017","Closed","Cleaning crew dispatched.  Property cleaned.","06/22/2017",986315,200778,1,"Cleaning crew dispatched.  Property cleaned.","2017/04",69,"Friday",1,"986315,200778",1
"315","767 LEXINGTON AVENUE","MANHATTAN","08 MANHATTAN","Precinct 19",4,1013950020,"04/06/2017","Closed","Cleaning crew dispatched.  Property cleaned.","06/08/2017",993212,217239,1,"Cleaning crew dispatched.  Property cleaned.","2017/04",63,"Thursday",1,"993212,217239",2
"316","148 NAGLE AVENUE","MANHATTAN","12 MANHATTAN","Precinct 34",10,1021740070,"10/13/2017","Closed","Cleaning crew dispatched.  Property cleaned.","11/06/2017",1004820,253074,1,"Cleaning crew dispatched.  Property cleaned.","2017/10",24,"Friday",1,"1004820,253074",2
"317","2626 BROADWAY","MANHATTAN","07 MANHATTAN","Precinct 24",7,1018710022,"06/29/2017","Closed","Cleaning crew dispatched.  Property cleaned.","08/03/2017",992508,229591,1,"Cleaning crew dispatched.  Property cleaned.","2017/06",35,"Thursday",1,"992508,229591",2
"318","604 WEST  158 STREET","MANHATTAN","12 MANHATTAN","Precinct 33",7,1021340180,"06/21/2017","Closed","Cleaning crew dispatched. No graffiti on property.","07/21/2017",999495,243447,1,"Cleaning crew dispatched. No graffiti on property.","2017/06",30,"Wednesday",1,"999495,243447",2
"320","243 ELDRIDGE STREET","MANHATTAN","03 MANHATTAN","Precinct 5",1,1004227501,"08/26/2017","Closed","Cleaning crew dispatched.  Property cleaned.","10/05/2017",987116,202568,1,"Cleaning crew dispatched.  Property cleaned.","2017/08",40,"Saturday",1,"987116,202568",2
"321","469 AMSTERDAM AVENUE","MANHATTAN","07 MANHATTAN","Precinct 20",6,1012130001,"07/30/2017","Closed","Cleaning crew dispatched.  Property cleaned.","10/05/2017",990713,225425,1,"Cleaning crew dispatched.  Property cleaned.","2017/07",67,"Sunday",0,"990713,225425",1
"322","504 GRAND STREET","MANHATTAN","03 MANHATTAN","Precinct 7",1,1003310001,"08/20/2017","Closed","Cleaning crew dispatched. No graffiti on property.","10/05/2017",989149,199651,1,"Cleaning crew dispatched. No graffiti on property.","2017/08",46,"Sunday",0,"989149,199651",1
"323","3800 BROADWAY","MANHATTAN","12 MANHATTAN","Precinct 33",7,1021170001,"06/21/2017","Closed","Cleaning crew dispatched.  Property cleaned.","07/20/2017",999651,243412,1,"Cleaning crew dispatched.  Property cleaned.","2017/06",29,"Wednesday",1,"999651,243412",1
"324","600 WEST  149 STREET","MANHATTAN","09 MANHATTAN","Precinct 30",7,1020950033,"10/24/2017","Closed","Cleaning crew dispatched.  Property cleaned.","12/05/2017",998391,241343,1,"Cleaning crew dispatched.  Property cleaned.","2017/10",42,"Tuesday",1,"998391,241343",1
"325","253 ELIZABETH STREET","MANHATTAN","02 MANHATTAN","Precinct 5",1,1005080035,"10/23/2017","Closed","Cleaning crew dispatched.  Property cleaned.","12/05/2017",985959,202879,1,"Cleaning crew dispatched.  Property cleaned.","2017/10",43,"Monday",1,"985959,202879",1
"326","84 EAST    7 STREET","MANHATTAN","03 MANHATTAN","Precinct 9",2,1004480026,"10/16/2017","Closed","Cleaning crew dispatched.  Property cleaned.","12/04/2017",988056,204211,1,"Cleaning crew dispatched.  Property cleaned.","2017/10",49,"Monday",1,"988056,204211",1
"327","826 LEXINGTON AVENUE","MANHATTAN","08 MANHATTAN","Precinct 19",4,1013980060,"10/20/2017","Closed","Cleaning crew dispatched. No graffiti on property.","12/04/2017",993595,217944,1,"Cleaning crew dispatched. No graffiti on property.","2017/10",45,"Friday",1,"993595,217944",1
"328","319 6 AVENUE","MANHATTAN","02 MANHATTAN","Precinct 6",3,1005890034,"04/07/2017","Closed","Cleaning crew dispatched.  Property cleaned.","07/10/2017",983840,205586,1,"Cleaning crew dispatched.  Property cleaned.","2017/04",94,"Friday",1,"983840,205586",1
"329","157 RIVINGTON STREET","MANHATTAN","03 MANHATTAN","Precinct 7",1,1003480018,"05/23/2017","Closed","Cleaning crew dispatched.  Property cleaned.","06/26/2017",988290,201294,1,"Cleaning crew dispatched.  Property cleaned.","2017/05",34,"Tuesday",1,"988290,201294",2
"330","33 JAMES STREET","MANHATTAN","03 MANHATTAN","Precinct 5",1,1001160048,"05/30/2017","Closed","Cleaning crew dispatched.  Property cleaned.","06/26/2017",984596,198712,1,"Cleaning crew dispatched.  Property cleaned.","2017/05",27,"Tuesday",1,"984596,198712",2
"332","768 AMSTERDAM AVENUE","MANHATTAN","07 MANHATTAN","Precinct 24",7,1018690033,"02/19/2017","Closed","Cleaning crew dispatched.  Owner refused.","06/06/2017",992669,228968,1,"Cleaning crew dispatched.  Owner refused.","2017/02",107,"Sunday",0,"992669,228968",1
"333","854 AMSTERDAM AVENUE","MANHATTAN","07 MANHATTAN","Precinct 24",7,1018730035,"03/07/2017","Closed","Cleaning crew dispatched. No graffiti on property.","05/22/2017",993184,229896,1,"Cleaning crew dispatched. No graffiti on property.","2017/03",76,"Tuesday",1,"993184,229896",1
"334","174 1 AVENUE","MANHATTAN","03 MANHATTAN","Precinct 9",2,1004380006,"10/16/2017","Closed","Cleaning crew dispatched.  Property cleaned.","11/13/2017",988638,204914,1,"Cleaning crew dispatched.  Property cleaned.","2017/10",28,"Monday",1,"988638,204914",1
"335","79 ALLEN STREET","MANHATTAN","03 MANHATTAN","Precinct 5",1,1004130019,"10/03/2017","Closed","Cleaning crew dispatched.  Property cleaned.","11/09/2017",986726,200819,1,"Cleaning crew dispatched.  Property cleaned.","2017/10",37,"Tuesday",1,"986726,200819",2
"336","207 AUDUBON AVENUE","MANHATTAN","12 MANHATTAN","Precinct 33",10,1021320001,"10/06/2017","Closed","Cleaning crew dispatched.  Property cleaned.","11/03/2017",1002255,247205,1,"Cleaning crew dispatched.  Property cleaned.","2017/10",28,"Friday",1,"1002255,247205",1
"338","2372 AMSTERDAM AVENUE","MANHATTAN","12 MANHATTAN","Precinct 33",10,1021320040,"09/06/2017","Closed","Cleaning crew dispatched.  Property cleaned.","10/13/2017",1002919,247467,1,"Cleaning crew dispatched.  Property cleaned.","2017/09",37,"Wednesday",1,"1002919,247467",1
"340","101 CLINTON STREET","MANHATTAN","03 MANHATTAN","Precinct 7",1,1003480029,"08/18/2017","Closed","Cleaning crew dispatched.  Property cleaned.","09/27/2017",988287,201005,1,"Cleaning crew dispatched.  Property cleaned.","2017/08",40,"Friday",1,"988287,201005",3
"341","71 1 AVENUE","MANHATTAN","03 MANHATTAN","Precinct 9",2,1004460034,"08/07/2017","Closed","Cleaning crew dispatched.  Property cleaned.","09/26/2017",987889,203574,1,"Cleaning crew dispatched.  Property cleaned.","2017/08",50,"Monday",1,"987889,203574",1
"342","188 FIRST AVENUE","MANHATTAN","03 MANHATTAN","Precinct 9",2,1004390004,"08/07/2017","Closed","Cleaning crew dispatched.  Property cleaned.","09/14/2017",988745,205109,1,"Cleaning crew dispatched.  Property cleaned.","2017/08",38,"Monday",1,"988745,205109",2
"343","1334 ST NICHOLAS AVENUE","MANHATTAN","12 MANHATTAN","Precinct 33",10,1021330034,"07/30/2017","Closed","Cleaning crew dispatched.  Property cleaned.","09/11/2017",1002026,247698,1,"Cleaning crew dispatched.  Property cleaned.","2017/07",43,"Sunday",0,"1002026,247698",2
"344","63 EAST  125 STREET","MANHATTAN","11 MANHATTAN","Precinct 25",9,1017500026,"07/06/2017","Closed","Cleaning crew dispatched.  Property cleaned.","08/28/2017",1000838,232751,1,"Cleaning crew dispatched.  Property cleaned.","2017/07",53,"Thursday",1,"1000838,232751",1
"345","652 AMSTERDAM AVENUE","MANHATTAN","07 MANHATTAN","Precinct 24",6,1012390035,"07/06/2017","Closed","Cleaning crew dispatched.  Property cleaned.","08/03/2017",991905,227586,1,"Cleaning crew dispatched.  Property cleaned.","2017/07",28,"Thursday",1,"991905,227586",2
"346","18 WEST  103 STREET","MANHATTAN","07 MANHATTAN","Precinct 24",7,1018380044,"07/06/2017","Closed","Cleaning crew dispatched.  Property cleaned.","08/03/2017",994615,229493,1,"Cleaning crew dispatched.  Property cleaned.","2017/07",28,"Thursday",1,"994615,229493",2
"347","453 WEST  125 STREET","MANHATTAN","09 MANHATTAN","Precinct 26",7,1019660044,"07/06/2017","Closed","Cleaning crew dispatched.  Property cleaned.","08/03/2017",996509,235391,1,"Cleaning crew dispatched.  Property cleaned.","2017/07",28,"Thursday",1,"996509,235391",2
"348","128 2 AVENUE","MANHATTAN","03 MANHATTAN","Precinct 9",2,1004490006,"07/10/2017","Closed","Cleaning crew dispatched.  Property cleaned.","08/02/2017",987636,204662,1,"Cleaning crew dispatched.  Property cleaned.","2017/07",23,"Monday",1,"987636,204662",1
"349","1136 1 AVENUE","MANHATTAN","08 MANHATTAN","Precinct 19",5,1014570004,"05/19/2017","Closed","Cleaning crew dispatched. No graffiti on property.","07/28/2017",995217,216794,1,"Cleaning crew dispatched. No graffiti on property.","2017/05",70,"Friday",1,"995217,216794",1
"350","1061 ST NICHOLAS AVENUE","MANHATTAN","12 MANHATTAN","Precinct 33",7,1021220120,"07/05/2017","Closed","Cleaning crew dispatched.  Property cleaned.","07/27/2017",1000836,244346,1,"Cleaning crew dispatched.  Property cleaned.","2017/07",22,"Wednesday",1,"1000836,244346",2
"351","2895 8 AVENUE","MANHATTAN","10 MANHATTAN","Precinct 32",9,1020470007,"10/24/2017","Closed","Cleaning crew dispatched. No graffiti on property.","12/05/2017",1001403,241016,1,"Cleaning crew dispatched. No graffiti on property.","2017/10",42,"Tuesday",1,"1001403,241016",1
"352","50 RIVINGTON STREET","MANHATTAN","03 MANHATTAN","Precinct 5",1,1004210075,"04/02/2017","Closed","Cleaning crew dispatched.  Cannot locate property.","06/09/2017",986797,201894,1,"Cleaning crew dispatched.  Cannot locate property.","2017/04",68,"Sunday",0,"986797,201894",4
"353","45 WEST  105 STREET","MANHATTAN","07 MANHATTAN","Precinct 24",7,1018410020,"03/21/2017","Closed","Cleaning crew dispatched.  Property cleaned.","05/23/2017",994850,229970,1,"Cleaning crew dispatched.  Property cleaned.","2017/03",63,"Tuesday",1,"994850,229970",2
"354","318 EAST  104 STREET","MANHATTAN","11 MANHATTAN","Precinct 23",8,1016750045,"07/07/2017","Closed","Cleaning crew dispatched.  Property cleaned.","08/03/2017",1000106,226745,1,"Cleaning crew dispatched.  Property cleaned.","2017/07",27,"Friday",1,"1000106,226745",1
"355","149 CENTRE STREET","MANHATTAN","01 MANHATTAN","Precinct 5",1,1001977502,"11/15/2017","Closed","10-90X - Unfounded","11/15/2017",984148,200688,0,"other","2017/11",0,"Wednesday",1,"984148,200688",1
"356","132 WEST   26 STREET","MANHATTAN","04 MANHATTAN","Precinct 13",3,1008010060,"06/18/2017","Closed","Cleaning crew dispatched. No graffiti on property.","08/07/2017",986328,210791,1,"Cleaning crew dispatched. No graffiti on property.","2017/06",50,"Sunday",0,"986328,210791",1
"357","1122 2 AVENUE","MANHATTAN","08 MANHATTAN","Precinct 19",5,1014340001,"07/06/2017","Closed","Cleaning crew dispatched.  Cannot locate property.","08/04/2017",994158,216421,1,"Cleaning crew dispatched.  Cannot locate property.","2017/07",29,"Thursday",1,"994158,216421",2
"358","323 MADISON STREET","MANHATTAN","03 MANHATTAN","Precinct 7",2,1002670010,"12/20/2017","Open","Site to be cleaned.","",988749,199122,0,"in process","2017/12",NA,"Wednesday",1,"988749,199122",1
"359","445 PARK AVENUE","MANHATTAN","05 MANHATTAN","Precinct 18",4,1013110001,"11/30/2017","Open","Site to be cleaned.","",992272,216600,0,"in process","2017/11",NA,"Thursday",1,"992272,216600",1
"360","182 CLAREMONT AVENUE","MANHATTAN","09 MANHATTAN","Precinct 26",7,1019930108,"03/29/2017","Open","Mail returned / wrong address","",995195,236020,0,"other","2017/03",NA,"Wednesday",1,"995195,236020",1
"361","155 EAST    4 STREET","MANHATTAN","03 MANHATTAN","Precinct 9",2,1004320001,"10/25/2017","Open","Site downloaded for cleaning","",988076,203356,0,"in process","2017/10",NA,"Wednesday",1,"988076,203356",1
"362","14 JEFFERSON STREET","MANHATTAN","03 MANHATTAN","Precinct 7",1,1002840015,"12/18/2017","Open","Site to be cleaned.","",987395,199334,0,"in process","2017/12",NA,"Monday",1,"987395,199334",1
"363","26 THOMPSON STREET","MANHATTAN","02 MANHATTAN","Precinct 1",1,1004760054,"12/14/2017","Open","Site to be cleaned.","",983067,202654,0,"in process","2017/12",NA,"Thursday",1,"983067,202654",1
"364","99 EAST    4 STREET","MANHATTAN","03 MANHATTAN","Precinct 9",2,1004467502,"01/03/2018","Open","Notice of Intent to Clean and Forever graffiti free form sent","",987337,203763,0,"in process","2018/01",NA,"Wednesday",1,"987337,203763",2
"365","500 9 AVENUE","MANHATTAN","04 MANHATTAN","Precinct 14",3,1007610064,"01/03/2018","Open","Notice of Intent to Clean and Forever graffiti free form sent","",985766,214639,0,"in process","2018/01",NA,"Wednesday",1,"985766,214639",1
"366","87 AVENUE A","MANHATTAN","03 MANHATTAN","Precinct 9",2,1004327501,"11/29/2017","Open","Site downloaded for cleaning","",988643,203496,0,"in process","2017/11",NA,"Wednesday",1,"988643,203496",1
"367","394A WEST  145 STREET","MANHATTAN","09 MANHATTAN","Precinct 30",7,1020500131,"01/16/2018","Open","Site to be cleaned.","",999392,239578,0,"in process","2018/01",NA,"Tuesday",1,"999392,239578",1
"368","154 7 AVENUE SOUTH","MANHATTAN","02 MANHATTAN","Precinct 6",3,1006120029,"01/17/2018","Open","Site to be cleaned.","",983723,207130,0,"in process","2018/01",NA,"Wednesday",1,"983723,207130",1
"369","80 MADISON STREET","MANHATTAN","03 MANHATTAN","Precinct 5",1,1002760052,"01/09/2018","Open","Site to be cleaned.","",985329,198728,0,"in process","2018/01",NA,"Tuesday",1,"985329,198728",1
"370","108 RIDGE STREET","MANHATTAN","03 MANHATTAN","Precinct 7",2,1003440076,"01/10/2018","Open","Site to be cleaned.","",988900,201182,0,"in process","2018/01",NA,"Wednesday",1,"988900,201182",3
"371","72 FRANKLIN STREET","MANHATTAN","01 MANHATTAN","Precinct 1",1,1001750001,"12/18/2017","Open","Site to be cleaned.","",983033,200811,0,"in process","2017/12",NA,"Monday",1,"983033,200811",2
"372","135 ORCHARD STREET","MANHATTAN","03 MANHATTAN","Precinct 7",1,1004150069,"12/14/2017","Open","Site to be cleaned.","",987210,201564,0,"in process","2017/12",NA,"Thursday",1,"987210,201564",1
"373","65 SAINT MARKS PLACE","MANHATTAN","03 MANHATTAN","Precinct 9",2,1004500042,"11/07/2017","Open","Site to be cleaned.","",988048,204516,0,"in process","2017/11",NA,"Tuesday",1,"988048,204516",1
"374","23 3 AVENUE","MANHATTAN","03 MANHATTAN","Precinct 9",2,1004640001,"11/16/2017","Open","Site to be cleaned.","",987097,205148,0,"in process","2017/11",NA,"Thursday",1,"987097,205148",1
"375","796 BROADWAY","MANHATTAN","02 MANHATTAN","Precinct 9",2,1005570001,"04/16/2017","Closed","Cleaning crew dispatched.  Cannot locate property.","07/12/2017",986645,205998,1,"Cleaning crew dispatched.  Cannot locate property.","2017/04",87,"Sunday",0,"986645,205998",1
"376","3837 10 AVENUE","MANHATTAN","12 MANHATTAN","Precinct 34",10,1022020001,"04/22/2017","Closed","Cleaning crew dispatched.  Property cleaned.","06/30/2017",1006440,253807,1,"Cleaning crew dispatched.  Property cleaned.","2017/04",69,"Saturday",1,"1006440,253807",1
"377","550 WEST   21 STREET","MANHATTAN","04 MANHATTAN","Precinct 10",3,1006920061,"04/21/2017","Closed","Cleaning crew dispatched.  Property cleaned.","06/23/2017",982411,211443,1,"Cleaning crew dispatched.  Property cleaned.","2017/04",63,"Friday",1,"982411,211443",1
"378","217 CANAL STREET","MANHATTAN","02 MANHATTAN","Precinct 5",1,1002060031,"07/29/2017","Closed","Cleaning crew dispatched.  Owner refused.","10/16/2017",984490,200663,1,"Cleaning crew dispatched.  Owner refused.","2017/07",79,"Saturday",1,"984490,200663",2
"379","118 DELANCEY STREET","MANHATTAN","03 MANHATTAN","Precinct 7",1,1003530044,"08/10/2017","Closed","Cleaning crew dispatched.  Property cleaned.","09/28/2017",987578,201046,1,"Cleaning crew dispatched.  Property cleaned.","2017/08",49,"Thursday",1,"987578,201046",2
"380","98 3 AVENUE","MANHATTAN","03 MANHATTAN","Precinct 9",2,1005580031,"07/10/2017","Closed","Cleaning crew dispatched.  Property cleaned.","09/28/2017",987607,206089,1,"Cleaning crew dispatched.  Property cleaned.","2017/07",80,"Monday",1,"987607,206089",1
"381","243 CANAL STREET","MANHATTAN","02 MANHATTAN","Precinct 5",1,1002080020,"07/06/2017","Closed","Cleaning crew dispatched.  Property cleaned.","07/27/2017",984196,200937,1,"Cleaning crew dispatched.  Property cleaned.","2017/07",21,"Thursday",1,"984196,200937",1
"382","10 GREENE STREET","MANHATTAN","02 MANHATTAN","Precinct 1",1,1002300013,"06/01/2017","Closed","Cleaning crew dispatched.  Property cleaned.","07/27/2017",983440,201870,1,"Cleaning crew dispatched.  Property cleaned.","2017/06",56,"Thursday",1,"983440,201870",1
"383","60 HENRY STREET","MANHATTAN","03 MANHATTAN","Precinct 5",1,1002777501,"07/29/2017","Closed","Cleaning crew dispatched.  Property cleaned.","09/15/2017",985634,199030,1,"Cleaning crew dispatched.  Property cleaned.","2017/07",48,"Saturday",1,"985634,199030",2
"384","205 WEST  104 STREET","MANHATTAN","07 MANHATTAN","Precinct 24",7,1018760029,"09/01/2017","Closed","Cleaning crew dispatched.  Property cleaned.","10/05/2017",993388,230478,1,"Cleaning crew dispatched.  Property cleaned.","2017/09",34,"Friday",1,"993388,230478",1
"385","331 GRAND STREET","MANHATTAN","03 MANHATTAN","Precinct 7",1,1003090015,"07/29/2017","Closed","Cleaning crew dispatched.  Property cleaned.","10/05/2017",986930,200528,1,"Cleaning crew dispatched.  Property cleaned.","2017/07",68,"Saturday",1,"986930,200528",1
"386","390 MANHATTAN AVENUE","MANHATTAN","10 MANHATTAN","Precinct 28",9,1019430147,"11/02/2017","Closed","Cleaning crew dispatched.  Property cleaned.","12/04/2017",996282,232709,1,"Cleaning crew dispatched.  Property cleaned.","2017/11",32,"Thursday",1,"996282,232709",1
"387","1393A 2 AVENUE","MANHATTAN","08 MANHATTAN","Precinct 19",4,1014270028,"05/01/2017","Closed","Cleaning crew dispatched.  Property cleaned.","06/23/2017",995874,219543,1,"Cleaning crew dispatched.  Property cleaned.","2017/05",53,"Monday",1,"995874,219543",1
"389","2061 2 AVENUE","MANHATTAN","11 MANHATTAN","Precinct 23",8,1016550028,"03/12/2017","Closed","Cleaning crew dispatched.  Property cleaned.","05/23/2017",1000167,227293,1,"Cleaning crew dispatched.  Property cleaned.","2017/03",72,"Sunday",0,"1000167,227293",1
"390","161 WEST  106 STREET","MANHATTAN","07 MANHATTAN","Precinct 24",7,1018610001,"03/25/2017","Closed","Cleaning crew dispatched. No graffiti on property.","05/23/2017",993923,230804,1,"Cleaning crew dispatched. No graffiti on property.","2017/03",59,"Saturday",1,"993923,230804",1
"392","4071 BROADWAY","MANHATTAN","12 MANHATTAN","Precinct 33",10,1021420073,"10/05/2017","Closed","Cleaning crew dispatched.  Property cleaned.","11/08/2017",1001099,246633,1,"Cleaning crew dispatched.  Property cleaned.","2017/10",34,"Thursday",1,"1001099,246633",3
"393","719 9 AVENUE","MANHATTAN","04 MANHATTAN","Precinct 18",3,1010580036,"09/17/2017","Closed","Cleaning crew dispatched.  Property cleaned.","10/26/2017",987162,217174,1,"Cleaning crew dispatched.  Property cleaned.","2017/09",39,"Sunday",0,"987162,217174",1
"394","58 WEST  125 STREET","MANHATTAN","10 MANHATTAN","Precinct 28",9,1017220060,"09/20/2017","Closed","Cleaning crew dispatched.  Property cleaned.","10/20/2017",999661,233395,1,"Cleaning crew dispatched.  Property cleaned.","2017/09",30,"Wednesday",1,"999661,233395",1
"396","336 BROADWAY","MANHATTAN","01 MANHATTAN","Precinct 5",1,1001700001,"07/29/2017","Closed","Cleaning crew dispatched.  Owner refused.","10/06/2017",983009,200257,1,"Cleaning crew dispatched.  Owner refused.","2017/07",69,"Saturday",1,"983009,200257",1
"397","1028 ST NICHOLAS AVENUE","MANHATTAN","12 MANHATTAN","Precinct 33",10,1021090088,"07/07/2017","Closed","Cleaning crew dispatched.  Owner refused.","09/25/2017",1000904,243663,1,"Cleaning crew dispatched.  Owner refused.","2017/07",80,"Friday",1,"1000904,243663",1
"398","4087 BROADWAY","MANHATTAN","12 MANHATTAN","Precinct 33",10,1021420100,"08/08/2017","Closed","Cleaning crew dispatched.  Property cleaned.","09/18/2017",1001137,246863,1,"Cleaning crew dispatched.  Property cleaned.","2017/08",41,"Tuesday",1,"1001137,246863",1
"399","203 AVENUE A","MANHATTAN","03 MANHATTAN","Precinct 9",2,1004400034,"07/30/2017","Closed","Cleaning crew dispatched.  Property cleaned.","09/14/2017",989495,205032,1,"Cleaning crew dispatched.  Property cleaned.","2017/07",46,"Sunday",0,"989495,205032",1
"400","239 EAST    5 STREET","MANHATTAN","03 MANHATTAN","Precinct 9",2,1004610035,"08/07/2017","Closed","Cleaning crew dispatched.  Property cleaned.","09/13/2017",986952,204260,1,"Cleaning crew dispatched.  Property cleaned.","2017/08",37,"Monday",1,"986952,204260",3
"401","125 1 AVENUE","MANHATTAN","03 MANHATTAN","Precinct 9",2,1004490033,"08/07/2017","Closed","Cleaning crew dispatched.  Property cleaned.","09/13/2017",988273,204267,1,"Cleaning crew dispatched.  Property cleaned.","2017/08",37,"Monday",1,"988273,204267",2
"402","56 3 AVENUE","MANHATTAN","03 MANHATTAN","Precinct 9",2,1005560024,"07/10/2017","Closed","Cleaning crew dispatched.  Property cleaned.","07/31/2017",987342,205610,1,"Cleaning crew dispatched.  Property cleaned.","2017/07",21,"Monday",1,"987342,205610",1
"403","521 ISHAM STREET","MANHATTAN","12 MANHATTAN","Precinct 34",10,1022280045,"07/06/2017","Closed","Cleaning crew dispatched. No graffiti on property.","07/26/2017",1006729,254990,1,"Cleaning crew dispatched. No graffiti on property.","2017/07",20,"Thursday",1,"1006729,254990",1
"404","362 WEST BROADWAY","MANHATTAN","02 MANHATTAN","Precinct 1",1,1004760071,"04/24/2017","Closed","Cleaning crew dispatched.  Owner refused.","07/20/2017",983358,202701,1,"Cleaning crew dispatched.  Owner refused.","2017/04",87,"Monday",1,"983358,202701",1
"405","605 WEST  156 STREET","MANHATTAN","12 MANHATTAN","Precinct 33",7,1021340100,"04/13/2017","Closed","Cleaning crew dispatched.  Property cleaned.","06/29/2017",999240,243003,1,"Cleaning crew dispatched.  Property cleaned.","2017/04",77,"Thursday",1,"999240,243003",1
"406","418 WEST  128 STREET","MANHATTAN","09 MANHATTAN","Precinct 26",9,1019540055,"04/17/2017","Closed","Cleaning crew dispatched.  Property cleaned.","05/26/2017",997447,235538,1,"Cleaning crew dispatched.  Property cleaned.","2017/04",39,"Monday",1,"997447,235538",1
"407","86 EAST  111 STREET","MANHATTAN","11 MANHATTAN","Precinct 23",8,1016160141,"04/23/2017","Closed","Cleaning crew dispatched.  Property cleaned.","05/26/2017",999209,229388,1,"Cleaning crew dispatched.  Property cleaned.","2017/04",33,"Sunday",0,"999209,229388",1
"409","58 WEST  108 STREET","MANHATTAN","07 MANHATTAN","Precinct 24",7,1018430051,"02/11/2017","Closed","Cleaning crew dispatched.  Cannot locate property.","05/24/2017",995024,230808,1,"Cleaning crew dispatched.  Cannot locate property.","2017/02",102,"Saturday",1,"995024,230808",1
"410","513 EAST    5 STREET","MANHATTAN","03 MANHATTAN","Precinct 9",2,1004010057,"06/28/2017","Closed","Cleaning crew dispatched.  Property cleaned.","09/14/2017",988726,203282,1,"Cleaning crew dispatched.  Property cleaned.","2017/06",78,"Wednesday",1,"988726,203282",1
"411","137 NORFOLK STREET","MANHATTAN","03 MANHATTAN","Precinct 7",1,1003540028,"06/29/2017","Closed","Cleaning crew dispatched.  Property cleaned.","07/27/2017",987981,201600,1,"Cleaning crew dispatched.  Property cleaned.","2017/06",28,"Thursday",1,"987981,201600",1
"412","51 HAMILTON PLACE","MANHATTAN","09 MANHATTAN","Precinct 30",7,1020710015,"05/12/2017","Closed","Cleaning crew dispatched.  Property cleaned.","07/17/2017",997589,238882,1,"Cleaning crew dispatched.  Property cleaned.","2017/05",66,"Friday",1,"997589,238882",1
"413","113 STANTON STREET","MANHATTAN","03 MANHATTAN","Precinct 7",1,1004110052,"03/28/2017","Closed","Cleaning crew dispatched.  Property cleaned.","06/02/2017",987779,201982,1,"Cleaning crew dispatched.  Property cleaned.","2017/03",66,"Tuesday",1,"987779,201982",1
"414","156 NAGLE AVENUE","MANHATTAN","12 MANHATTAN","Precinct 34",10,1021740066,"10/25/2017","Open","Site downloaded for cleaning","",1004928,253124,0,"in process","2017/10",NA,"Wednesday",1,"1004928,253124",3
"415","205 EAST  125 STREET","MANHATTAN","11 MANHATTAN","Precinct 25",8,1017900101,"07/07/2017","Open","Site downloaded for cleaning","",1002131,232034,0,"in process","2017/07",NA,"Friday",1,"1002131,232034",1
"416","248 WEST  125 STREET","MANHATTAN","10 MANHATTAN","Precinct 28",9,1019300049,"12/19/2017","Open","Site to be cleaned.","",998208,234202,0,"in process","2017/12",NA,"Tuesday",1,"998208,234202",1
"417","136 EAST BROADWAY","MANHATTAN","03 MANHATTAN","Precinct 7",1,1002837503,"01/09/2018","Open","Site to be cleaned.","",986564,199383,0,"in process","2018/01",NA,"Tuesday",1,"986564,199383",2
"418","115 WEST   27 STREET","MANHATTAN","05 MANHATTAN","Precinct 13",3,1008030026,"12/15/2017","Open","Site to be cleaned.","",986522,210985,0,"in process","2017/12",NA,"Friday",1,"986522,210985",1
"419","22 MERCER STREET","MANHATTAN","02 MANHATTAN","Precinct 1",1,1002317501,"01/25/2018","Open","Notice of Intent to Clean and Forever graffiti free form sent","",983731,201861,0,"in process","2018/01",NA,"Thursday",1,"983731,201861",1
"420","441 WEST   26 STREET","MANHATTAN","04 MANHATTAN","Precinct 10",3,1007240010,"01/30/2018","Open","Public Property (Non-City)","",983747,212229,0,"other","2018/01",NA,"Tuesday",1,"983747,212229",1
"421","229 WEST BROADWAY","MANHATTAN","01 MANHATTAN","Precinct 1",1,1001780021,"12/01/2017","Open","Site downloaded for cleaning","",982540,201369,0,"in process","2017/12",NA,"Friday",1,"982540,201369",1
"422","8 AVENUE B","MANHATTAN","03 MANHATTAN","Precinct 9",2,1003970035,"11/18/2017","Open","Site downloaded for cleaning","",988785,202233,0,"in process","2017/11",NA,"Saturday",1,"988785,202233",2
"423","236 EAST   13 STREET","MANHATTAN","03 MANHATTAN","Precinct 9",2,1004680027,"10/16/2017","Open","Site downloaded for cleaning","",987915,206041,0,"in process","2017/10",NA,"Monday",1,"987915,206041",2
"424","1232 3 AVENUE","MANHATTAN","08 MANHATTAN","Precinct 19",4,1014060041,"10/13/2017","Open","Site downloaded for cleaning","",995051,219528,0,"in process","2017/10",NA,"Friday",1,"995051,219528",1
"425","1810 AMSTERDAM AVENUE","MANHATTAN","09 MANHATTAN","Precinct 30",7,1020810034,"01/03/2018","Open","Site to be cleaned.","",999338,241004,0,"in process","2018/01",NA,"Wednesday",1,"999338,241004",1
