"","INCIDENT_ADDRESS","BOROUGH","COMMUNITY_BOARD","POLICE_PRECINCT","CITY_COUNCIL_DISTRICT","BBL","CREATED_DATE","STATUS","RESOLUTION_ACTION","CLOSED_DATE","X_COORDINATE","Y_COORDINATE","dispatched","resolution","date","responseTime","dow","weekday","latlong","count"
"1528","101 WEST  131 STREET","MANHATTAN","10 MANHATTAN","Precinct 32",9,1019160029,"02/17/2017","Closed","Cleaning crew dispatched.  Property cleaned.","05/09/2017",999979,235031,1,"Cleaning crew dispatched.  Property cleaned.","2017/02",81,"Friday",1,"999979,235031",1
"1529","49 HOWARD STREET","MANHATTAN","02 MANHATTAN","Precinct 1",1,1002317503,"08/05/2017","Closed","Cleaning crew dispatched. No graffiti on property.","09/12/2017",983754,201633,1,"Cleaning crew dispatched. No graffiti on property.","2017/08",38,"Saturday",1,"983754,201633",1
"1532","174 DELANCEY STREET","MANHATTAN","03 MANHATTAN","Precinct 7",1,1003480072,"10/02/2017","Closed","Cleaning crew dispatched.  Property cleaned.","12/04/2017",988339,200705,1,"Cleaning crew dispatched.  Property cleaned.","2017/10",63,"Monday",1,"988339,200705",2
"1533","54 LUDLOW STREET","MANHATTAN","03 MANHATTAN","Precinct 7",1,1003100010,"11/06/2017","Closed","Cleaning crew dispatched.  Property cleaned.","11/27/2017",986988,200359,1,"Cleaning crew dispatched.  Property cleaned.","2017/11",21,"Monday",1,"986988,200359",1
"1534","147 ORCHARD STREET","MANHATTAN","03 MANHATTAN","Precinct 7",1,1004160067,"08/26/2017","Closed","Cleaning crew dispatched.  Property cleaned.","11/15/2017",987298,201791,1,"Cleaning crew dispatched.  Property cleaned.","2017/08",81,"Saturday",1,"987298,201791",1
"1535","9 CLINTON STREET","MANHATTAN","03 MANHATTAN","Precinct 7",2,1003500021,"05/31/2017","Closed","Cleaning crew dispatched.  Property cleaned.","06/19/2017",988663,201960,1,"Cleaning crew dispatched.  Property cleaned.","2017/05",19,"Wednesday",1,"988663,201960",2
"1536","18 WEST   30 STREET","MANHATTAN","05 MANHATTAN","Precinct 14",4,1008310050,"04/14/2017","Closed","Cleaning crew dispatched.  Property cleaned.","06/13/2017",987756,211179,1,"Cleaning crew dispatched.  Property cleaned.","2017/04",60,"Friday",1,"987756,211179",1
"1537","4159 BROADWAY","MANHATTAN","12 MANHATTAN","Precinct 33",10,1021420217,"03/02/2017","Closed","Cleaning crew dispatched.  Property cleaned.","06/12/2017",1001327,247797,1,"Cleaning crew dispatched.  Property cleaned.","2017/03",102,"Thursday",1,"1001327,247797",1
"1538","86 STANTON STREET","MANHATTAN","03 MANHATTAN","Precinct 7",1,1004170068,"03/28/2017","Closed","Cleaning crew dispatched.  Property cleaned.","06/09/2017",987392,202144,1,"Cleaning crew dispatched.  Property cleaned.","2017/03",73,"Tuesday",1,"987392,202144",2
"1539","2490 8 AVENUE","MANHATTAN","10 MANHATTAN","Precinct 32",9,1019390001,"02/19/2017","Closed","Cleaning crew dispatched.  Property cleaned.","04/14/2017",998815,236331,1,"Cleaning crew dispatched.  Property cleaned.","2017/02",54,"Sunday",0,"998815,236331",1
"1540","197 HENRY STREET","MANHATTAN","03 MANHATTAN","Precinct 7",1,1002850010,"10/17/2017","Closed","Cleaning crew dispatched.  Property cleaned.","11/09/2017",987666,199259,1,"Cleaning crew dispatched.  Property cleaned.","2017/10",23,"Tuesday",1,"987666,199259",1
"1541","117 1 AVENUE","MANHATTAN","03 MANHATTAN","Precinct 9",2,1004490037,"10/06/2017","Closed","Cleaning crew dispatched.  Property cleaned.","11/06/2017",988230,204188,1,"Cleaning crew dispatched.  Property cleaned.","2017/10",31,"Friday",1,"988230,204188",2
"1542","311 2 AVENUE","MANHATTAN","06 MANHATTAN","Precinct 13",2,1008990024,"10/03/2017","Closed","Cleaning crew dispatched.  Property cleaned.","11/03/2017",988944,207032,1,"Cleaning crew dispatched.  Property cleaned.","2017/10",31,"Tuesday",1,"988944,207032",2
"1543","587 WEST  207 STREET","MANHATTAN","12 MANHATTAN","Precinct 34",10,1022360027,"10/02/2017","Closed","Cleaning crew dispatched.  Owner refused.","10/20/2017",1006158,255180,1,"Cleaning crew dispatched.  Owner refused.","2017/10",18,"Monday",1,"1006158,255180",2
"1544","630 FT WASHINGTON AVENUE","MANHATTAN","12 MANHATTAN","Precinct 34",10,1021800350,"08/16/2017","Closed","Cleaning crew dispatched. No graffiti on property.","10/20/2017",1001822,251115,1,"Cleaning crew dispatched. No graffiti on property.","2017/08",65,"Wednesday",1,"1001822,251115",1
"1546","99 AVENUE A","MANHATTAN","03 MANHATTAN","Precinct 9",2,1004340034,"07/29/2017","Closed","Cleaning crew dispatched.  Property cleaned.","10/06/2017",988735,203661,1,"Cleaning crew dispatched.  Property cleaned.","2017/07",69,"Saturday",1,"988735,203661",1
"1547","2409 2 AVENUE","MANHATTAN","11 MANHATTAN","Precinct 25",8,1017880026,"07/07/2017","Closed","Cleaning crew dispatched.  Property cleaned.","08/09/2017",1002426,231334,1,"Cleaning crew dispatched.  Property cleaned.","2017/07",33,"Friday",1,"1002426,231334",1
"1548","4305 BROADWAY","MANHATTAN","12 MANHATTAN","Precinct 34",10,1021800112,"07/18/2017","Closed","Cleaning crew dispatched. No graffiti on property.","08/08/2017",1002236,249566,1,"Cleaning crew dispatched. No graffiti on property.","2017/07",21,"Tuesday",1,"1002236,249566",1
"1551","117 LUDLOW STREET","MANHATTAN","03 MANHATTAN","Precinct 7",1,1004100022,"07/09/2017","Closed","Cleaning crew dispatched.  Property cleaned.","07/28/2017",987397,201422,1,"Cleaning crew dispatched.  Property cleaned.","2017/07",19,"Sunday",0,"987397,201422",2
"1552","33 AVENUE B","MANHATTAN","03 MANHATTAN","Precinct 9",2,1003850005,"07/14/2017","Closed","Cleaning crew dispatched. No graffiti on property.","07/27/2017",988944,202510,1,"Cleaning crew dispatched. No graffiti on property.","2017/07",13,"Friday",1,"988944,202510",2
"1553","220 EAST   13 STREET","MANHATTAN","03 MANHATTAN","Precinct 9",2,1004680019,"07/10/2017","Closed","Cleaning crew dispatched.  Property cleaned.","09/29/2017",987844,206080,1,"Cleaning crew dispatched.  Property cleaned.","2017/07",81,"Monday",1,"987844,206080",1
"1554","416 WEST  147 STREET","MANHATTAN","09 MANHATTAN","Precinct 30",9,1020610041,"07/10/2017","Closed","Cleaning crew dispatched.  Property cleaned.","09/25/2017",999624,240067,1,"Cleaning crew dispatched.  Property cleaned.","2017/07",77,"Monday",1,"999624,240067",1
"1555","180 PINEHURST AVENUE","MANHATTAN","12 MANHATTAN","Precinct 34",10,1021790168,"07/14/2017","Closed","Cleaning crew dispatched. No graffiti on property.","09/25/2017",1001361,250534,1,"Cleaning crew dispatched. No graffiti on property.","2017/07",73,"Friday",1,"1001361,250534",1
"1556","369 WEST   34 STREET","MANHATTAN","04 MANHATTAN","Precinct 14",3,1007580001,"01/18/2018","Open","Notice of Intent to Clean and Forever graffiti free form sent","",985562,213600,0,"in process","2018/01",NA,"Thursday",1,"985562,213600",1
"1557","16 WEST   27 STREET","MANHATTAN","05 MANHATTAN","Precinct 13",3,1008280056,"10/30/2017","Open","Site to be cleaned.","",987218,210592,0,"in process","2017/10",NA,"Monday",1,"987218,210592",1
"1558","364 WEST  116 STREET","MANHATTAN","10 MANHATTAN","Precinct 28",9,1018490044,"01/02/2018","Open","Notice of Intent to Clean and Forever graffiti free form sent","",996069,232645,0,"in process","2018/01",NA,"Tuesday",1,"996069,232645",1
"1559","105 MERCER STREET","MANHATTAN","02 MANHATTAN","Precinct 1",1,1004990035,"10/10/2017","Open","Site downloaded for cleaning","",984419,202939,0,"in process","2017/10",NA,"Tuesday",1,"984419,202939",2
"1561","406 WEST  145 STREET","MANHATTAN","09 MANHATTAN","Precinct 30",7,1020500150,"12/15/2017","Open","Site to be cleaned.","",999335,239609,0,"in process","2017/12",NA,"Friday",1,"999335,239609",1
"1562","605 SIXTH AVENUE","MANHATTAN","04 MANHATTAN","Precinct 13",3,1007937507,"11/16/2017","Open","Site to be cleaned.","",985577,208736,0,"in process","2017/11",NA,"Thursday",1,"985577,208736",1
"1564","716 BROADWAY","MANHATTAN","02 MANHATTAN","Precinct 9",2,1005450010,"12/31/2017","Open","Notice of Intent to Clean and Forever graffiti free form sent","",986006,204904,0,"in process","2017/12",NA,"Sunday",0,"986006,204904",1
"1565","308 SPRING STREET","MANHATTAN","02 MANHATTAN","Precinct 1",3,1005940035,"10/16/2017","Open","Site downloaded for cleaning","",981867,203753,0,"in process","2017/10",NA,"Monday",1,"981867,203753",1
"1566","17 1 AVENUE","MANHATTAN","03 MANHATTAN","Precinct 9",2,1004430037,"10/06/2017","Open","Site downloaded for cleaning","",987493,202854,0,"in process","2017/10",NA,"Friday",1,"987493,202854",1
"1567","695 9 AVENUE","MANHATTAN","04 MANHATTAN","Precinct 18",3,1010570035,"10/15/2017","Open","Site downloaded for cleaning","",987015,216907,0,"in process","2017/10",NA,"Sunday",0,"987015,216907",1
"1569","347 WEST   46 STREET","MANHATTAN","04 MANHATTAN","Precinct 18",3,1010370012,"01/02/2018","Open","Site to be cleaned.","",987221,216301,0,"in process","2018/01",NA,"Tuesday",1,"987221,216301",2
