INCIDENT_ADDRESS,BOROUGH,COMMUNITY_BOARD,POLICE_PRECINCT,CITY_COUNCIL_DISTRICT,BBL,CREATED_DATE,STATUS,RESOLUTION_ACTION,CLOSED_DATE,X_COORDINATE,Y_COORDINATE
1882 ATLANTIC AVENUE,BROOKLYN,08 BROOKLYN,Precinct 77,36,3013380017,12/12/2017,Open,Site to be cleaned.,,1004550,186009
889 METROPOLITAN AVENUE,BROOKLYN,01 BROOKLYN,Precinct 90,34,3029120030,12/12/2017,Open,Site to be cleaned.,,1000973,199646
6002 3 AVENUE,BROOKLYN,07 BROOKLYN,Precinct 72,38,3057800039,12/08/2017,Open,Site to be cleaned.,,978558,173171
273 AVENUE U,BROOKLYN,11 BROOKLYN,Precinct 62,47,3071030042,12/07/2017,Open,Site to be cleaned.,,991482,156746
2752 WEST   15 STREET,BROOKLYN,13 BROOKLYN,Precinct 60,47,3069960077,10/30/2017,Open,Site to be cleaned.,,988881,150723
145-56 LIBERTY AVENUE,QUEENS,12 QUEENS,Precinct 103,28,4100490008,11/17/2017,Open,Site to be cleaned.,,1037850,192304
2824 WEST   20 STREET,BROOKLYN,13 BROOKLYN,Precinct 60,47,3070180018,11/24/2017,Open,Site to be cleaned.,,987804,149842
549 3 AVENUE,BROOKLYN,06 BROOKLYN,Precinct 78,39,3010400108,11/09/2017,Open,Site to be cleaned.,,986018,182763
468 9 STREET,BROOKLYN,06 BROOKLYN,Precinct 78,39,3010920013,01/17/2018,Open,Notice of Intent to Clean and Forever graffiti free form sent,,989604,182083
3511 14 AVENUE,BROOKLYN,12 BROOKLYN,Precinct 66,39,3053500015,01/24/2018,Open,Notice of Intent to Clean and Forever graffiti free form sent,,989280,172959
34 WEST   65 STREET,MANHATTAN,07 MANHATTAN,Precinct 20,06,1011170047,12/24/2017,Open,Notice of Intent to Clean and Forever graffiti free form sent,,989705,220624
36 SAINT EDWARDS STREET,BROOKLYN,02 BROOKLYN,Precinct 88,35,3020340001,07/21/2017,Open,Public Property (Non-City),,990267,192829
65 WYCKOFF AVENUE,BROOKLYN,04 BROOKLYN,Precinct 83,34,3032110007,10/26/2017,Open,Site downloaded for cleaning,,1006104,196333
1141 UNION STREET,BROOKLYN,09 BROOKLYN,Precinct 71,35,3012670010,10/26/2017,Open,Site downloaded for cleaning,,996737,183090
185 WYCKOFF AVENUE,BROOKLYN,04 BROOKLYN,Precinct 83,37,3032810008,10/26/2017,Open,Site downloaded for cleaning,,1007301,195353
2363 ATLANTIC AVENUE,BROOKLYN,16 BROOKLYN,Precinct 73,37,3015720040,10/04/2017,Open,Site downloaded for cleaning,,1010083,185623
157 EAST    2 STREET,MANHATTAN,03 MANHATTAN,Precinct 9,02,1003970012,10/21/2017,Open,Site downloaded for cleaning,,988360,202595
636 10 AVENUE,MANHATTAN,04 MANHATTAN,Precinct 18,03,1010550001,10/16/2017,Open,Site downloaded for cleaning,,985915,216765
550 EAST  189 STREET,BRONX,06 BRONX,Precinct 48,15,2030580084,09/04/2017,Open,Site downloaded for cleaning,,1015390,251929
918 KENT AVENUE,BROOKLYN,03 BROOKLYN,Precinct 79,33,3019110001,01/30/2018,Open,Site to be cleaned.,,995591,191804
1456 VYSE AVENUE,BRONX,03 BRONX,Precinct 42,17,2029950001,02/03/2018,Open,Site to be cleaned.,,1014995,242358
102 MADISON STREET,MANHATTAN,03 MANHATTAN,Precinct 5,01,1002767501,01/09/2018,Open,Site to be cleaned.,,985526,198752
95-04 85 STREET,QUEENS,09 QUEENS,Precinct 102,32,4090170008,12/16/2017,Open,Site to be cleaned.,,1024235,188699
121 PARKSIDE AVENUE,BROOKLYN,14 BROOKLYN,Precinct 70,40,3050520011,12/15/2017,Open,Site to be cleaned.,,993913,177397
159 HEMLOCK STREET,BROOKLYN,05 BROOKLYN,Precinct 75,37,3041200001,12/21/2017,Open,Site to be cleaned.,,1019839,189255
1615 WEST   10 STREET,BROOKLYN,11 BROOKLYN,Precinct 62,44,3066220071,11/13/2017,Open,Site to be cleaned.,,988869,160468
1567 SELWYN AVENUE,BRONX,04 BRONX,Precinct 44,16,2028190026,11/12/2017,Open,Site to be cleaned.,,1009010,246086
 EAST 87 STREET AND RALPH AVENUE,BROOKLYN,01 BROOKLYN,Unspecified,,,01/15/2018,Open,Property Research Required,,,
1111grinney AVENIDA C D RAMIREZ,BRONX,01 BRONX,Unspecified,,,01/03/2018,Open,Property Research Required,,,
28-63 atlantic ave,QUEENS,01 QUEENS,Unspecified,,,12/07/2017,Open,Property Research Required,,,
155 west dykman,MANHATTAN,01 MANHATTAN,Unspecified,,,12/26/2017,Open,Property Research Required,,,
505 PENNSYLVANIA AVENUE,BROOKLYN,05 BROOKLYN,Precinct 75,42,,12/08/2017,Open,Property Research Required,,1013627,181594
380 HOOPER ST,BRONX,01 BRONX,Unspecified,,,12/06/2017,Open,Property Research Required,,,
282 AVENUE J,BROOKLYN,12 BROOKLYN,Precinct 66,44,,12/11/2017,Open,Property Research Required,,991485,166541
6717 bayridge ave,BROOKLYN,01 BROOKLYN,Unspecified,,,12/19/2017,Open,Property Research Required,,,
 Across from 9507 103 street ozone park ny 11416,QUEENS,01 QUEENS,Unspecified,,,12/01/2017,Open,Property Research Required,,,
85-25 JAMAICA AVENUE,QUEENS,09 QUEENS,Precinct 102,32,,12/18/2017,Open,Property Research Required,,1023406,191621
132 GRANT AVENUE,BROOKLYN,05 BROOKLYN,Precinct 75,37,,11/06/2017,Open,Property Research Required,,1020777,189904
5319 NEW UTRECHT AVENUE,BROOKLYN,12 BROOKLYN,Precinct 66,44,,10/18/2017,Open,Property Research Required,,985582,169893
 cooper avenue and 78 street,QUEENS,01 QUEENS,Unspecified,,,10/11/2017,Open,Property Research Required,,,
596 bay st,BROOKLYN,01 BROOKLYN,Unspecified,,,09/19/2017,Open,Property Research Required,,,
 EAST 180 STREET,BRONX,01 BRONX,Unspecified,,,09/05/2017,Open,Property Research Required,,,
160st 160st,QUEENS,01 QUEENS,Unspecified,,,07/29/2017,Open,Property Research Required,,,
2166 bivona st,BRONX,01 BRONX,Unspecified,,,08/12/2017,Open,Property Research Required,,,
 90 S STREET BROOKLYN NEW YORK 11249,BROOKLYN,01 BROOKLYN,Unspecified,,,06/14/2017,Open,Property Research Required,,,
 WEST 134 STREET AND SAINT NICHOLAS AVENUE,MANHATTAN,01 MANHATTAN,Unspecified,,,05/15/2017,Open,Property Research Required,,,
 West 150 street amd 8th avenue,MANHATTAN,01 MANHATTAN,Unspecified,,,06/01/2017,Open,Property Research Required,,,
 258 8 st,BROOKLYN,01 BROOKLYN,Unspecified,,,04/21/2017,Open,Property Research Required,,,
1615 MCDONALD AVENUE,BROOKLYN,12 BROOKLYN,Precinct 66,44,,04/08/2017,Open,Property Research Required,,991510,162742
 west 39 street between 9 avenue and 10 avenue,MANHATTAN,01 MANHATTAN,Unspecified,,,03/07/2017,Open,Property Research Required,,,
3445A BOSTON ROAD,BRONX,12 BRONX,Precinct 47,12,2047200040,10/24/2017,Open,Site downloaded for cleaning,,1026056,258554
2174 65 STREET,BROOKLYN,11 BROOKLYN,Precinct 62,47,3055570035,11/13/2017,Open,Site downloaded for cleaning,,989251,163022
527 4 AVENUE,BROOKLYN,06 BROOKLYN,Precinct 78,39,3010410001,10/04/2017,Open,Site downloaded for cleaning,,986631,182320
947 WESTCHESTER AVENUE,BRONX,02 BRONX,Precinct 41,17,2027040044,08/13/2017,Open,Site downloaded for cleaning,,1012897,238888
2001 WESTCHESTER AVENUE,BRONX,09 BRONX,Precinct 43,18,2039320037,12/27/2017,Open,Site to be cleaned.,,1023746,243018
82-77 116 STREET,QUEENS,09 QUEENS,Precinct 102,29,4033210091,11/28/2017,Open,Site to be cleaned.,,1029585,196932
1972 ATLANTIC AVENUE,BROOKLYN,08 BROOKLYN,Precinct 77,41,3013390036,12/14/2017,Open,Site to be cleaned.,,1005617,185932
2782 FULTON STREET,BROOKLYN,05 BROOKLYN,Precinct 75,37,3039460019,11/14/2017,Open,Site to be cleaned.,,1014212,186301
400 WEST  238 STREET,BRONX,08 BRONX,Precinct 50,11,2057690144,10/26/2017,Open,Site to be cleaned.,,1010981,262307
95-01 ROOSEVELT AVENUE,QUEENS,03 QUEENS,Precinct 115,21,4014830057,01/27/2018,Open,Notice of Intent to Clean and Forever graffiti free form sent,,1019780,212155
114-59 FARMERS BOULEVARD,QUEENS,12 QUEENS,Precinct 113,27,4110090007,01/22/2018,Open,Notice of Intent to Clean and Forever graffiti free form sent,,1050332,193099
98-07 ATLANTIC AVENUE,QUEENS,09 QUEENS,Precinct 102,32,4093060107,01/03/2018,Open,Notice of Intent to Clean and Forever graffiti free form sent,,1027270,190442
361 CRESCENT STREET,BROOKLYN,05 BROOKLYN,Precinct 75,37,3041690007,01/24/2018,Open,Notice of Intent to Clean and Forever graffiti free form sent,,1019989,187058
1125 BROADWAY,BROOKLYN,04 BROOKLYN,Precinct 83,34,3032410075,12/26/2017,Open,Notice of Intent to Clean and Forever graffiti free form sent,,1003838,192008
25-24 30 AVENUE,QUEENS,01 QUEENS,Precinct 114,22,4005760033,11/16/2017,Open,Site downloaded for cleaning,,1005192,219194
33 THROOP AVENUE,BROOKLYN,01 BROOKLYN,Precinct 90,33,3022517504,10/26/2017,Open,Site downloaded for cleaning,,998825,195501
1481 FLATBUSH AVENUE,BROOKLYN,14 BROOKLYN,Precinct 70,45,3052510061,10/31/2017,Open,Site downloaded for cleaning,,998343,170383
91 EAST    3 STREET,MANHATTAN,03 MANHATTAN,Precinct 9,02,1004450038,10/10/2017,Open,Site downloaded for cleaning,,987561,203350
129 AVENUE S,BROOKLYN,11 BROOKLYN,Precinct 62,47,3066720047,10/06/2017,Open,Site downloaded for cleaning,,989565,158190
159 2 AVENUE,MANHATTAN,03 MANHATTAN,Precinct 9,02,1004650047,10/16/2017,Open,Site downloaded for cleaning,,987866,205090
1006 6 AVENUE,MANHATTAN,05 MANHATTAN,Precinct 14,04,1008390004,10/10/2017,Open,Site downloaded for cleaning,,988069,213226
946 ATLANTIC AVENUE,BROOKLYN,08 BROOKLYN,Precinct 77,35,3011240022,10/04/2017,Open,Site downloaded for cleaning,,994563,187302
1065 NOSTRAND AVENUE,BROOKLYN,09 BROOKLYN,Precinct 71,40,3013300076,10/04/2017,Open,Site downloaded for cleaning,,997910,180478
2872 BRIGHTON    4 STREET,BROOKLYN,13 BROOKLYN,Precinct 60,48,3072610095,10/04/2017,Open,Site downloaded for cleaning,,994080,150998
2419 FOSTER AVENUE,BROOKLYN,17 BROOKLYN,Precinct 67,45,3052110064,10/06/2017,Open,Site downloaded for cleaning,,997168,171879
80-04 ROOSEVELT AVENUE,QUEENS,04 QUEENS,Precinct 110,25,4014910002,10/08/2017,Open,Site downloaded for cleaning,,1015943,211613
4915 5 AVENUE,BROOKLYN,07 BROOKLYN,Precinct 72,38,3007840004,09/21/2017,Open,Site downloaded for cleaning,,981510,174457
29-01 BROADWAY,QUEENS,01 QUEENS,Precinct 114,22,4005880008,02/17/2017,Open,Site downloaded for cleaning,,1004511,217149
1126 WESTCHESTER AVENUE,BRONX,02 BRONX,Precinct 41,17,2027500013,02/21/2017,Open,Site downloaded for cleaning,,1014600,240036
412 5 AVENUE,BROOKLYN,06 BROOKLYN,Precinct 78,39,3009980040,02/05/2018,Open,Site to be cleaned.,,988267,183423
143 TOMPKINS AVENUE,BROOKLYN,03 BROOKLYN,Precinct 79,36,3017600004,01/26/2018,Open,Site to be cleaned.,,999189,192319
200 WEST  107 STREET,MANHATTAN,07 MANHATTAN,Precinct 24,07,1018780033,01/03/2018,Open,Site to be cleaned.,,993809,231181
491 BROADWAY,MANHATTAN,02 MANHATTAN,Precinct 1,01,1004840026,01/21/2018,Open,Site to be cleaned.,,984342,202330
127 ALBANY AVENUE,BROOKLYN,08 BROOKLYN,Precinct 77,36,3013400001,01/25/2018,Open,Site to be cleaned.,,1001241,185709
3001 AVENUE K,BROOKLYN,18 BROOKLYN,Precinct 63,45,3076120010,12/27/2017,Open,Site to be cleaned.,,999164,166770
1100 BROADWAY,BROOKLYN,03 BROOKLYN,Precinct 81,36,3016000017,12/26/2017,Open,Site to be cleaned.,,1003582,192192
144-07 ROCKAWAY BOULEVARD,QUEENS,12 QUEENS,Precinct 113,28,4120470038,12/07/2017,Open,Site to be cleaned.,,1041243,184809
54 WEST  125 STREET,MANHATTAN,10 MANHATTAN,Precinct 28,09,1017220058,12/22/2017,Open,Site to be cleaned.,,999684,233382
2315 86 STREET,BROOKLYN,11 BROOKLYN,Precinct 62,47,3068580070,12/19/2017,Open,Site to be cleaned.,,986693,158001
65-49 MYRTLE AVENUE,QUEENS,05 QUEENS,Precinct 104,30,4036770029,12/04/2017,Open,Site to be cleaned.,,1015047,194790
775 EAST  149 STREET,BRONX,01 BRONX,Precinct 40,08,2026410036,12/18/2017,Open,Site to be cleaned.,,1009868,235455
102-18 JAMAICA AVENUE,QUEENS,09 QUEENS,Precinct 102,32,4092880009,12/18/2017,Open,Site to be cleaned.,,1027210,192578
338 9 AVENUE,MANHATTAN,04 MANHATTAN,Precinct 14,03,1007530004,11/16/2017,Open,Site to be cleaned.,,984692,212701
729 3 AVENUE,BROOKLYN,07 BROOKLYN,Precinct 72,38,3006480066,11/09/2017,Open,Site to be cleaned.,,984457,180609
3684 NOSTRAND AVENUE,BROOKLYN,15 BROOKLYN,Precinct 61,48,3074050937,10/19/2017,Closed,Cleaning crew dispatched.  Property cleaned.,10/30/2017,1000716,155788
103 MADISON STREET,MANHATTAN,03 MANHATTAN,Precinct 5,01,1002770015,07/29/2017,Closed,Cleaning crew dispatched. No graffiti on property.,09/15/2017,985559,198762
528 EAST FORDHAM ROAD,BRONX,06 BRONX,Precinct 48,15,2030590032,08/07/2017,Closed,Cleaning crew dispatched.  Property cleaned.,08/30/2017,1015387,252474
371 CANAL STREET,MANHATTAN,02 MANHATTAN,Precinct 1,01,1002280007,08/05/2017,Closed,Cleaning crew dispatched.  Property cleaned.,09/12/2017,983047,202013
2507 BROADWAY,MANHATTAN,07 MANHATTAN,Precinct 24,06,1012410011,09/06/2017,Closed,Cleaning crew dispatched.  Cannot locate property.,10/05/2017,991725,228188
118 CLASSON AVENUE,BROOKLYN,02 BROOKLYN,Precinct 88,33,3018800055,06/14/2017,Closed,Cleaning crew dispatched.  Property cleaned.,07/20/2017,994873,193058
112 WHITE STREET,MANHATTAN,01 MANHATTAN,Precinct 5,01,1001970017,05/15/2017,Closed,Cleaning crew dispatched.  Property cleaned.,07/20/2017,983974,200507
39-17 QUEENS BOULEVARD,QUEENS,02 QUEENS,Precinct 108,26,4001910044,04/23/2017,Closed,Cleaning crew dispatched.  Owner refused.,06/20/2017,1004904,210330
2395 WESTCHESTER AVENUE,BRONX,10 BRONX,Precinct 45,18,2039730003,10/28/2017,Closed,Cleaning crew dispatched.  Property cleaned.,11/28/2017,1026790,244310
11 CROSBY STREET,MANHATTAN,02 MANHATTAN,Precinct 5,01,1002330002,03/20/2017,Closed,Graffiti is intentional.,,984185,201588
450 BROADWAY,MANHATTAN,02 MANHATTAN,Precinct 5,01,1002320008,10/02/2017,Closed,Cleaning crew dispatched.  Property cleaned.,12/04/2017,983981,201758
28-48 31 STREET,QUEENS,01 QUEENS,Precinct 114,22,4005950033,10/31/2017,Closed,Cleaning crew dispatched.  Property cleaned.,12/01/2017,1006168,218921
160 WALLABOUT STREET,BROOKLYN,01 BROOKLYN,Precinct 90,33,3022630008,09/29/2017,Closed,Cleaning crew dispatched.  Owner refused.,11/30/2017,996268,194222
2250 WESTCHESTER AVENUE,BRONX,09 BRONX,Precinct 43,18,2038230029,10/28/2017,Closed,Cleaning crew dispatched.  Property cleaned.,11/29/2017,1025797,243298
1277 FLUSHING AVENUE,BROOKLYN,01 BROOKLYN,Precinct 90,34,3029960046,10/26/2017,Closed,Cleaning crew dispatched.  Property cleaned.,11/27/2017,1005798,197619
1118 LONGWOOD AVENUE,BRONX,02 BRONX,Precinct 41,17,2027360254,09/18/2017,Closed,Cleaning crew dispatched. No graffiti on property.,11/27/2017,1013711,236120
193-33 JAMAICA AVENUE,QUEENS,12 QUEENS,Precinct 103,23,4104580017,11/01/2017,Closed,Cleaning crew dispatched.  Cannot locate property.,11/22/2017,1048880,199210
1234 ATLANTIC AVENUE,BROOKLYN,08 BROOKLYN,Precinct 77,36,3012000016,05/08/2017,Closed,Cleaning crew dispatched.  Property cleaned.,07/10/2017,997645,186497
59 ORCHARD STREET,MANHATTAN,03 MANHATTAN,Precinct 7,01,1003080016,04/28/2017,Closed,Cleaning crew dispatched.  Property cleaned.,06/22/2017,986770,200434
758 HUMBOLDT STREET,BROOKLYN,01 BROOKLYN,Precinct 94,33,3026280038,05/29/2017,Closed,Cleaning crew dispatched. No graffiti on property.,06/16/2017,999270,204460
90 VERMILYEA AVENUE,MANHATTAN,12 MANHATTAN,Precinct 34,10,1022340025,04/15/2017,Closed,Cleaning crew dispatched.  Property cleaned.,06/12/2017,1005559,254759
116-63 QUEENS BOULEVARD,QUEENS,06 QUEENS,Precinct 112,29,4022680023,03/21/2017,Closed,Cleaning crew dispatched.  Property cleaned.,06/12/2017,1030459,200162
95-26 QUEENS BOULEVARD,QUEENS,06 QUEENS,Precinct 112,29,4030800018,03/07/2017,Closed,Cleaning crew dispatched. No graffiti on property.,06/12/2017,1022046,205477
124 DELANCEY STREET,MANHATTAN,03 MANHATTAN,Precinct 7,01,1003530042,04/28/2017,Closed,Cleaning crew dispatched.  Property cleaned.,06/09/2017,987645,201018
136-65 37 AVENUE,QUEENS,07 QUEENS,Precinct 109,20,4049770080,02/16/2017,Closed,Cleaning crew dispatched.  Property cleaned.,06/08/2017,1031528,216933
1832 86 STREET,BROOKLYN,11 BROOKLYN,Precinct 62,47,3063700041,04/24/2017,Closed,Cleaning crew dispatched.  Property cleaned.,06/07/2017,983726,160345
342 63 STREET,BROOKLYN,07 BROOKLYN,Precinct 72,38,3058080021,05/03/2017,Closed,Cleaning crew dispatched.  Property cleaned.,06/05/2017,978458,172282
339 MAUJER STREET,BROOKLYN,01 BROOKLYN,Precinct 90,34,3030190060,04/23/2017,Closed,Cleaning crew dispatched.  Property cleaned.,06/02/2017,1001944,198799
2067 MCDONALD AVENUE,BROOKLYN,15 BROOKLYN,Precinct 61,47,3066810007,04/08/2017,Closed,Cleaning crew dispatched.  Property cleaned.,05/26/2017,991888,158685
515 WEST   18 STREET,MANHATTAN,04 MANHATTAN,Precinct 10,03,1006900020,03/15/2017,Closed,Cleaning crew dispatched.  Cannot locate property.,04/19/2017,982267,210693
3775 10 AVENUE,MANHATTAN,12 MANHATTAN,Precinct 34,10,1021990001,10/13/2017,Closed,Cleaning crew dispatched.  Property cleaned.,11/06/2017,1006051,253103
39-17 BELL BOULEVARD,QUEENS,11 QUEENS,Precinct 111,19,4062410009,08/13/2017,Closed,Cleaning crew dispatched. No graffiti on property.,11/01/2017,1047482,218086
172-12 HILLSIDE AVENUE,QUEENS,12 QUEENS,Precinct 103,27,4098290041,08/13/2017,Closed,Cleaning crew dispatched.  Property cleaned.,10/27/2017,1042463,198666
2250 MCDONALD AVENUE,BROOKLYN,11 BROOKLYN,Precinct 62,47,3071030032,10/04/2017,Closed,Cleaning crew dispatched.  Property cleaned.,10/26/2017,991700,156970
178 DELANCY STREET,MANHATTAN,03 MANHATTAN,Precinct 7,01,1003480070,09/26/2017,Closed,Cleaning crew dispatched.  Property cleaned.,10/17/2017,988396,200680
1966 CONEY ISLAND AVENUE,BROOKLYN,15 BROOKLYN,Precinct 61,44,3066420018,10/05/2017,Closed,Cleaning crew dispatched.  Property cleaned.,10/12/2017,994734,161236
2006 86 STREET,BROOKLYN,11 BROOKLYN,Precinct 62,47,3063750033,09/27/2017,Closed,Cleaning crew dispatched.  Property cleaned.,10/12/2017,984793,159503
291 PENNSYLVANIA AVENUE,BROOKLYN,05 BROOKLYN,Precinct 75,42,3037550017,09/20/2017,Closed,Cleaning crew dispatched.  Property cleaned.,10/10/2017,1013252,183509
135 NORTH    5 STREET,BROOKLYN,01 BROOKLYN,Precinct 94,33,3023350029,07/24/2017,Closed,Cleaning crew dispatched.  Property cleaned.,09/28/2017,995547,200482
1215 38 STREET,BROOKLYN,12 BROOKLYN,Precinct 66,39,3052950068,08/20/2017,Closed,Cleaning crew dispatched.  Property cleaned.,09/26/2017,987760,173244
1665 PITKIN AVENUE,BROOKLYN,16 BROOKLYN,Precinct 73,41,3034980061,07/14/2017,Closed,Cleaning crew dispatched.  Property cleaned.,09/26/2017,1008700,183215
444 WILLIS AVENUE,BRONX,01 BRONX,Precinct 40,08,2022900002,08/12/2017,Closed,Cleaning crew dispatched.  Property cleaned.,09/19/2017,1006538,235756
2780 STILLWELL AVENUE,BROOKLYN,13 BROOKLYN,Precinct 60,47,3069970098,07/26/2017,Closed,Cleaning crew dispatched. No graffiti on property.,09/18/2017,989224,150565
926 BROADWAY,BROOKLYN,03 BROOKLYN,Precinct 81,36,3015840025,06/29/2017,Closed,Cleaning crew dispatched. No graffiti on property.,09/13/2017,1001977,193376
62-06 WOODHAVEN BOULEVARD,QUEENS,05 QUEENS,Precinct 104,29,4029740137,07/29/2017,Closed,Cleaning crew dispatched.  Property cleaned.,09/07/2017,1020142,204086
14-19 BROADWAY,QUEENS,01 QUEENS,Precinct 114,22,4005310017,07/19/2017,Closed,Cleaning crew dispatched.  Owner refused.,09/06/2017,1002804,218347
1045 ATLANTIC AVENUE,BROOKLYN,03 BROOKLYN,Precinct 79,36,3020200077,07/31/2017,Closed,Cleaning crew dispatched.  Property cleaned.,09/01/2017,996143,186875
790 EAST TREMONT AVENUE,BRONX,06 BRONX,Precinct 48,17,2029560017,07/26/2017,Closed,Cleaning crew dispatched.  Property cleaned.,09/01/2017,1015189,246770
657 6 AVENUE,BROOKLYN,07 BROOKLYN,Precinct 72,38,3008800001,07/31/2017,Closed,Cleaning crew dispatched.  Property cleaned.,08/31/2017,987149,180319
225 WILLOW AVENUE,BRONX,01 BRONX,Precinct 40,17,2025660068,07/30/2017,Closed,Cleaning crew dispatched.  Property cleaned.,08/31/2017,1008696,232119
4522 PARK AVENUE,BRONX,06 BRONX,Precinct 48,15,2030380011,03/03/2017,Closed,Cleaning crew dispatched.  Property cleaned.,08/29/2017,1013302,250889
1470 WESTCHESTER AVENUE,BRONX,09 BRONX,Precinct 43,17,2037370042,02/23/2017,Closed,Cleaning crew dispatched.  Cannot locate property.,08/28/2017,1017051,241104
32 KENT STREET,BROOKLYN,01 BROOKLYN,Precinct 94,33,3025560045,07/14/2017,Closed,Cleaning crew dispatched.  Property cleaned.,08/17/2017,995303,205367
9515 CHURCH AVENUE,BROOKLYN,17 BROOKLYN,Precinct 67,42,3046920049,07/18/2017,Closed,Cleaning crew dispatched.  Property cleaned.,08/11/2017,1007524,178024
10 EAST BURNSIDE AVENUE,BRONX,05 BRONX,Precinct 46,14,2028540044,07/07/2017,Closed,Cleaning crew dispatched.  Property cleaned.,08/11/2017,1009951,250322
136 WEST  124 STREET,MANHATTAN,10 MANHATTAN,Precinct 28,09,1019080046,06/10/2017,Closed,Cleaning crew dispatched.  Property cleaned.,08/08/2017,998883,233505
1960 MCDONALD AVENUE,BROOKLYN,11 BROOKLYN,Precinct 62,44,3066570031,07/03/2017,Closed,Cleaning crew dispatched.  Property cleaned.,08/03/2017,991944,159654
1075 LAFAYETTE AVENUE,BROOKLYN,03 BROOKLYN,Precinct 81,36,3016080045,07/13/2017,Closed,Cleaning crew dispatched.  Property cleaned.,08/02/2017,1003905,191559
1775 SOUTHERN BOULEVARD,BRONX,03 BRONX,Precinct 42,17,2029400042,05/06/2017,Closed,Cleaning crew dispatched.  Property cleaned.,07/27/2017,1015369,244519
133 GERRY STREET,BROOKLYN,01 BROOKLYN,Precinct 90,33,3022677501,04/06/2017,Closed,Cleaning crew dispatched.  Property cleaned.,06/15/2017,999339,195289
258 HALSEY STREET,BROOKLYN,03 BROOKLYN,Precinct 79,36,3018460009,06/10/2017,Closed,Cleaning crew dispatched.  Property cleaned.,07/25/2017,1000002,187957
5317 2 AVENUE,BROOKLYN,07 BROOKLYN,Precinct 72,38,3008130003,07/24/2017,Closed,Cleaning crew dispatched. No graffiti on property.,08/16/2017,979028,175091
1946 86 STREET,BROOKLYN,11 BROOKLYN,Precinct 62,47,3063730053,07/21/2017,Closed,Cleaning crew dispatched. No graffiti on property.,08/16/2017,984427,159790
338 CENTRAL AVENUE,BROOKLYN,04 BROOKLYN,Precinct 83,34,3033050048,08/09/2017,Closed,Cleaning crew dispatched.  Property cleaned.,09/12/2017,1006398,192572
83 2 AVENUE,MANHATTAN,03 MANHATTAN,Precinct 9,02,1004600035,07/10/2017,Closed,Cleaning crew dispatched.  Property cleaned.,10/05/2017,987271,204012
212 SEVENTH AVENUE,MANHATTAN,04 MANHATTAN,Precinct 10,03,1007720044,07/16/2017,Closed,Cleaning crew dispatched.  Property cleaned.,10/05/2017,985356,210194
101-02 37 AVENUE,QUEENS,03 QUEENS,Precinct 115,21,4017670001,05/09/2017,Closed,Cleaning crew dispatched.  Property cleaned.,06/20/2017,1021342,213574
1524 JEFFERSON AVENUE,BROOKLYN,04 BROOKLYN,Precinct 83,37,3033930049,03/31/2017,Closed,Cleaning crew dispatched.  Property cleaned.,06/20/2017,1009937,193333
4825 5 AVENUE,BROOKLYN,07 BROOKLYN,Precinct 72,38,3007750001,11/09/2017,Closed,Cleaning crew dispatched.  Property cleaned.,12/07/2017,981660,174647
4914 4 AVENUE,BROOKLYN,07 BROOKLYN,Precinct 72,38,3007820041,10/17/2017,Closed,Cleaning crew dispatched.  Property cleaned.,12/07/2017,980878,174958
4801 5 AVENUE,BROOKLYN,07 BROOKLYN,Precinct 72,38,3007750009,09/21/2017,Closed,Cleaning crew dispatched.  Property cleaned.,12/07/2017,981688,174682
180 AVENUE B,MANHATTAN,03 MANHATTAN,Precinct 9,02,1004057502,11/04/2017,Closed,Cleaning crew dispatched.  Owner refused.,12/04/2017,989977,204386
357 CANAL STREET,MANHATTAN,02 MANHATTAN,Precinct 1,01,1002280001,10/20/2017,Closed,Cleaning crew dispatched.  Owner refused.,12/04/2017,983134,201932
320 ST NICHOLAS AVENUE,MANHATTAN,10 MANHATTAN,Precinct 28,09,1019520043,09/27/2017,Closed,Cleaning crew dispatched. No graffiti on property.,12/04/2017,997492,234873
40-18 ELBERTSON STREET,QUEENS,04 QUEENS,Precinct 110,21,4015020020,10/12/2017,Closed,Cleaning crew dispatched. No graffiti on property.,11/30/2017,1017685,211753
115 WYCKOFF AVENUE,BROOKLYN,04 BROOKLYN,Precinct 83,37,3032380003,10/26/2017,Closed,Cleaning crew dispatched.  Property cleaned.,11/29/2017,1006585,195938
62 ORCHARD STREET,MANHATTAN,03 MANHATTAN,Precinct 7,01,1003090010,11/06/2017,Closed,Cleaning crew dispatched.  Property cleaned.,11/27/2017,986795,200482
274 BOWERY,MANHATTAN,02 MANHATTAN,Precinct 5,01,1005070027,09/17/2017,Closed,Cleaning crew dispatched.  Property cleaned.,11/27/2017,986239,202892
21-10 NEWTOWN AVENUE,QUEENS,01 QUEENS,Precinct 114,22,4005430018,08/13/2017,Closed,Cleaning crew dispatched.  Property cleaned.,11/27/2017,1004849,220552
659 FLUSHING AVENUE,BROOKLYN,01 BROOKLYN,Precinct 90,33,3022720055,09/29/2017,Closed,Cleaning crew dispatched.  Property cleaned.,11/22/2017,998970,194367
134-06 JAMAICA AVENUE,QUEENS,09 QUEENS,Precinct 102,29,4093420003,11/08/2017,Closed,Cleaning crew dispatched.  Property cleaned.,11/21/2017,1034562,195217
