INCIDENT_ADDRESS,BOROUGH,COMMUNITY_BOARD,POLICE_PRECINCT,CITY_COUNCIL_DISTRICT,BBL,CREATED_DATE,STATUS,RESOLUTION_ACTION,CLOSED_DATE,X_COORDINATE,Y_COORDINATE
1350 EAST GUN HILL ROAD,BRONX,11 BRONX,Precinct 49,12,2045900001,07/11/2017,Closed,Cleaning crew dispatched. No graffiti on property.,09/21/2017,1026703,256495
1325 ATLANTIC AVENUE,BROOKLYN,03 BROOKLYN,Precinct 79,36,3018680080,08/31/2017,Closed,Cleaning crew dispatched.  Property cleaned.,09/19/2017,999167,186399
403 TAYLOR AVENUE,BRONX,09 BRONX,Precinct 43,18,2034950077,06/15/2017,Closed,Cleaning crew dispatched.  Owner refused.,08/28/2017,1022704,235603
197-02 HILLSIDE AVENUE,QUEENS,12 QUEENS,Precinct 103,23,4104720003,06/18/2017,Closed,Cleaning crew dispatched.  Owner refused.,08/14/2017,1049327,201110
1015 EAST GUN HILL ROAD,BRONX,12 BRONX,Precinct 47,12,2046930033,07/14/2017,Closed,Cleaning crew dispatched. No graffiti on property.,08/10/2017,1023653,257932
8400 FLATLAND AVENUE,BROOKLYN,18 BROOKLYN,Precinct 69,46,3080200038,01/26/2018,Open,Notice of Intent to Clean and Forever graffiti free form sent,,1009099,171480
1452 WESTCHESTER AVENUE,BRONX,09 BRONX,Precinct 43,17,2037360042,01/10/2018,Open,Notice of Intent to Clean and Forever graffiti free form sent,,1016852,241085
1064 LIBERTY AVENUE,BROOKLYN,05 BROOKLYN,Precinct 75,37,3041980014,01/24/2018,Open,Notice of Intent to Clean and Forever graffiti free form sent,,1020329,186420
23-33 ASTORIA BOULEVARD,QUEENS,01 QUEENS,Precinct 114,22,4008720003,01/22/2018,Open,Notice of Intent to Clean and Forever graffiti free form sent,,1005255,220441
117-17 GUY BREWER BOULEVARD,QUEENS,12 QUEENS,Precinct 113,27,4123540021,12/07/2017,Open,Notice of Intent to Clean and Forever graffiti free form sent,,1044459,188593
32-02 57 STREET,QUEENS,01 QUEENS,Precinct 114,26,4011580089,11/24/2017,Open,Site downloaded for cleaning,,1010767,214498
19-03 75 STREET,QUEENS,01 QUEENS,Precinct 114,22,4009430001,11/28/2017,Open,Site downloaded for cleaning,,1013351,220467
760 MCDONALD AVENUE,BROOKLYN,12 BROOKLYN,Precinct 66,39,3053940010,11/16/2017,Open,Site downloaded for cleaning,,990364,170695
1726 MC DONALD AVENUE,BROOKLYN,11 BROOKLYN,Precinct 62,44,3066070016,11/15/2017,Open,Site downloaded for cleaning,,991648,161748
723 WESTCHESTER AVENUE,BRONX,01 BRONX,Precinct 40,17,2026450043,11/17/2017,Open,Site downloaded for cleaning,,1010281,237155
182-17 JAMAICA AVENUE,QUEENS,12 QUEENS,Precinct 103,27,4099000001,11/17/2017,Open,Site downloaded for cleaning,,1045691,197600
119 INGRAHAM STREET,BROOKLYN,01 BROOKLYN,Precinct 90,34,3029920033,10/26/2017,Open,Site downloaded for cleaning,,1003869,197054
369 BROADWAY,BROOKLYN,01 BROOKLYN,Precinct 90,34,3024630038,10/26/2017,Open,Site downloaded for cleaning,,996715,197017
749 EAST  135 STREET,BRONX,01 BRONX,Precinct 40,17,2025640051,10/19/2017,Open,Site downloaded for cleaning,,1008196,231716
3125 EMMONS AVENUE,BROOKLYN,15 BROOKLYN,Precinct 61,48,3088040075,10/23/2017,Open,Site downloaded for cleaning,,1002375,152068
3696 NOSTRAND AVENUE,BROOKLYN,15 BROOKLYN,Precinct 61,48,3074221006,10/19/2017,Open,Site downloaded for cleaning,,1000763,155471
47-28 37 STREET,QUEENS,02 QUEENS,Precinct 108,26,4002290039,09/17/2017,Open,Site downloaded for cleaning,,1004060,209464
1607 PITKIN AVENUE,BROOKLYN,16 BROOKLYN,Precinct 73,41,3034960044,07/14/2017,Open,Site downloaded for cleaning,,1008089,183095
